Year,Leading Cause,Sex,Race Ethnicity,Deaths,Population Number,Death Rate,Age Adjusted Death Rate
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,32.0,5161.3,6.2,7.6
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,87.0,10481.9,8.3,8.1
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,71.0,11639.3,6.1,7.1
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,,,,
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,,,,
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,162.0,14336.3,11.3,7.3
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53.0,4818.2,11.0,13.0
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,158.0,8540.5,18.5,20.6
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,154.0,10922.0,14.1,17.4
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,8.0,,,
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5.0,,,
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,297.0,13378.4,22.2,19.8
2007,All Other Causes,F,Asian and Pacific Islander,182.0,5155.8,35.3,44.6
2007,All Other Causes,F,Black Non-Hispanic,1230.0,10530.8,116.8,113.4
2007,All Other Causes,F,Hispanic,820.0,11680.9,70.2,85.6
2007,All Other Causes,F,Not Stated/Unknown,27.0,,,
2007,All Other Causes,F,Other Race/ Ethnicity,15.0,,,
2007,All Other Causes,F,White Non-Hispanic,1680.0,14346.7,117.1,81.5
2007,All Other Causes,M,Asian and Pacific Islander,221.0,4835.9,45.7,61.2
2007,All Other Causes,M,Black Non-Hispanic,1163.0,8520.1,136.5,162.4
2007,All Other Causes,M,Hispanic,988.0,10905.1,90.6,142.6
2007,All Other Causes,M,Not Stated/Unknown,43.0,,,
2007,All Other Causes,M,Other Race/ Ethnicity,24.0,,,
2007,All Other Causes,M,White Non-Hispanic,1749.0,13381.8,130.7,115.9
2007,Alzheimer's Disease (G30),F,Not Stated/Unknown,,,,
2007,Alzheimer's Disease (G30),F,White Non-Hispanic,107.0,14266.7,7.5,3.5
2007,Aortic Aneurysm and Dissection (I71),F,Not Stated/Unknown,,,,
2007,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,,,,
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,267.0,8530.4,31.3,31.1
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Hispanic,114.0,10857.1,10.5,9.9
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,,,,
2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,,,,
2007,Atherosclerosis (I70),F,Other Race/ Ethnicity,,,,
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,70.0,5147.1,13.6,17.6
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,279.0,10528.3,26.5,25.3
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,164.0,11714.3,14.0,18.3
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,,,,
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,,,,
2007,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,372.0,14362.9,25.9,14.4
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,56.0,4827.6,11.6,16.2
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,213.0,8520.0,25.0,33.0
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,126.0,10862.1,11.6,20.0
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7.0,,,
2007,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,267.0,13350.0,20.0,16.7
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,,,,
2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,,,,
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,,,,
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,18.0,4864.9,3.7,3.6
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,107.0,10918.4,9.8,12.8
2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,,,,
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,29.0,5178.6,5.6,7.9
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,163.0,10516.1,15.5,14.8
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,116.0,11717.2,9.9,12.8
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6.0,,,
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,,,,
2007,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,472.0,14346.5,32.9,19.6
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,43.0,4831.5,8.9,16.7
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,137.0,8509.3,16.1,22.7
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,,,,
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,,,,
2007,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,345.0,13372.1,25.8,21.7
2007,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,,,,
2007,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,34.0,5151.5,6.6,8.3
2007,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,358.0,10529.4,34.0,32.5
2007,Diabetes Mellitus (E10-E14),F,Hispanic,205.0,11647.7,17.6,22.6
2007,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,,,,
2007,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,,,,
2007,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,231.0,14347.8,16.1,9.8
2007,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,47.0,4845.4,9.7,13.6
2007,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,246.0,8512.1,28.9,38.1
2007,Diabetes Mellitus (E10-E14),M,Hispanic,177.0,10925.9,16.2,27.6
2007,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,9.0,,,
2007,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,11.0,,,
2007,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,237.0,13389.8,17.7,15.0
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,428.0,5150.4,83.1,115.2
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2722.0,10525.9,258.6,247.3
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1418.0,11670.8,121.5,164.3
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,82.0,,,
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,43.0,,,
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,7050.0,14346.8,491.4,250.7
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,496.0,4839.0,102.5,157.8
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2121.0,8521.5,248.9,340.2
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1327.0,10903.9,121.7,238.4
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,86.0,,,
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,36.0,,,
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5632.0,13377.7,421.0,350.7
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,22.0,5116.3,4.3,6.3
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,166.0,10506.3,15.8,15.0
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,78.0,11641.8,6.7,8.9
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5.0,,,
2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,155.0,14351.9,10.8,5.9
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,25.0,4807.7,5.2,8.3
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,137.0,8509.3,16.1,22.0
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,123.0,13369.6,9.2,7.6
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,248.0,10508.5,23.6,22.1
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,109.0,11720.4,9.3,9.5
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,5.0,,,
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,377.0,8529.4,44.2,44.2
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,218.0,10900.0,20.0,23.1
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,6.0,,,
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,,,,
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,58.0,5132.7,11.3,15.8
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295.0,10535.7,28.0,26.9
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,190.0,11656.4,16.3,22.3
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,,,,
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,,,,
2007,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,659.0,14357.3,45.9,23.2
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,66.0,4852.9,13.6,25.7
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,229.0,8513.0,26.9,40.1
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,189.0,10924.9,17.3,36.7
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,13.0,,,
2007,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7.0,,,
2007,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,530.0,13383.8,39.6,32.9
2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,,,,
2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Other Race/ Ethnicity,,,,
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,22.0,5116.3,4.3,3.9
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,36.0,4864.9,7.4,7.7
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,5.0,,,
